year,neighborhood,propertyCode,ROI/Year
2020,Sant Gervasi – la Bonanova,87480600,82.82769912356737
2020,Sants,92410515,20.386194545264022
2020,Sants,92649103,36.10452211521058
2020,Sants,92012510,20.24330065826451
2020,Sants,89938754,30.007716269897976
2020,Sants,92997272,40.01028835986397
2020,Sants,92956994,34.2945328798834
2020,Sants,85016555,50.01286044982996
2021,Dreta de l'Eixample,91250018,34.647851833186344
2021,Dreta de l'Eixample,81810829,62.99609424215699
2021,Dreta de l'Eixample,81601328,115.49283944395448
2021,Dreta de l'Eixample,91231745,68.45575574314392
2021,Dreta de l'Eixample,84499984,178.48893368611147
2021,Dreta de l'Eixample,91870157,46.19713577758179
2020,Les Corts,92812484,29.716520039100683
2020,Les Corts,92931541,17.204301075268816
2020,Les Corts,91258620,50.67448680351906
2020,Les Corts,92132103,67.40957966764418
2020,Les Corts,93195013,25.728250244379275
2020,"Horta, Barcelona",91566842,19.77256209653285
2020,"Horta, Barcelona",93071626,53.065281518532764
2020,Sant Gervasi – Galvany,91626733,73.68789492106183
2020,Sant Gervasi – Galvany,88993085,35.80003561581587
2020,La Nova Esquerra de l'Eixample,92492268,3.8627749209338256
2020,La Nova Esquerra de l'Eixample,91480663,45.46807979849191
2020,La Nova Esquerra de l'Eixample,93167329,19.313874604669127
2020,La Nova Esquerra de l'Eixample,93106918,5.955111336439647
2020,"El Poble-sec, Barcelona",88622352,36.10542784932001
2020,"El Poble-sec, Barcelona",88817388,74.71817707706502
2020,"El Poble-sec, Barcelona",92460816,22.616038833393507
2020,"El Poble-sec, Barcelona",91851753,44.12885626028001
2021,La Bordeta,92260564,41.96714743589744
2021,La Bordeta,89879478,26.54246794871795
2021,La Bordeta,92369030,17.928685897435898
2020,"Vallvidrera, el Tibidabo i les Planes",84279527,22.670129013643297
2020,"Vallvidrera, el Tibidabo i les Planes",89920277,120.22038113295689
2020,Sant Antoni,92407786,30.710533969785626
2020,Sant Antoni,92960895,38.49509829081764
2020,Sant Antoni,93121061,31.223801946996527
2020,Sant Antoni,92100675,24.64969460555356
2020,Sant Antoni,92923516,21.38616571712091
2020,Vallcarca i els Penitents,92169914,55.92558953140242
2021,Vila de Gràcia,90898872,33.75784985618231
2020,El Putxet i el Farró,93185677,75.97408220946804
2021,Les Corts,93112341,40.15866367735101
2020,Pedralbes,92568316,138.90884705656944
2020,La Maternitat i Sant Ramon,92308855,33.40606552663183
2020,La Maternitat i Sant Ramon,92810460,22.411664214069454
2020,La Maternitat i Sant Ramon,92955565,25.202550701104517
2020,La Maternitat i Sant Ramon,91144911,27.063141692461226
2020,La Maternitat i Sant Ramon,85866520,35.01293956462171
2020,La Bordeta,93040881,19.098071958464093
2020,La Font de la Guatlla,92538518,28.199798991052173
2020,La Font de la Guatlla,92894139,74.64652674102045
2020,La Font de la Guatlla,92556836,13.660802279402436
2020,La Font de la Guatlla,93087715,44.88549320375086
2020,Sarrià,92463059,22.41323956118511
2020,Sants-Badal,92348940,23.604390416617495
2020,Sants-Badal,92635297,19.57197372044534
2020,Sants-Badal,90139392,45.53680317872458
2020,Sants-Badal,92483472,18.19505094614265
2020,Sants-Badal,92471708,29.505488020771867
2021,Gothic Quarter,92276530,98.19203367590465
2021,Gothic Quarter,91789448,33.46454959358186
2021,Gothic Quarter,90961312,39.629071887136405
2021,Gothic Quarter,90134093,49.31617834843642
2021,Gothic Quarter,92148832,29.501642404868214
2021,Gothic Quarter,84028395,87.1839581517001
2021,El Raval,87352128,31.960650480493175
2021,El Raval,86983056,38.78614532886968
